tweet_id,retweet_count,favorite_count
892420643555336193,8188,37530
892177421306343426,6057,32256
891815181378084864,4007,24301
891689557279858688,8339,40869
891327558926688256,9033,39065
891087950875897856,3000,19643
890971913173991426,1984,11479
890729181411237888,18181,63315
890609185150312448,4119,27014
890240255349198849,7109,30942
890006608113172480,7070,29770
889880896479866881,4801,26996
889665388333682689,9675,46655
889638837579907072,4372,26296
889531135344209921,2172,14665
889278841981685760,5192,24497
888917238123831296,4344,28259
888804989199671297,4131,24789
888554962724278272,3408,19236
888078434458587136,3361,21114
887705289381826560,5184,29312
887517139158093824,11285,44929
887473957103951883,17503,66879
887343217045368832,10054,32680
887101392804085760,5748,29660
886983233522544640,7479,34071
886736880519319552,3145,11670
886680336477933568,4304,21775
886366144734445568,3086,20546
886267009285017600,4,116
886258384151887873,6080,27178
886054160059072513,105,0
885984800019947520,6539,31633
885528943205470208,6196,34907
885518971528720385,3614,19828
885311592912609280,17885,0
885167619883638784,4225,21261
884925521741709313,17587,75017
884876753390489601,5423,27062
884562892145688576,4520,23567
884441805382717440,5473,26196
884247878851493888,19796,70745
884162670584377345,2877,19757
883838122936631299,3328,21232
883482846933004288,9571,44555
883360690899218434,3581,22017
883117836046086144,6433,36045
882992080364220416,3787,23222
882762694511734784,4727,27454
882627270321602560,5878,27122
882268110199369728,11200,43604
882045870035918850,4782,28480
881906580714921986,3283,23596
881666595344535552,10321,49114
881633300179243008,7,122
881536004380872706,15418,47982
881268444196462592,5017,22449
880935762899988482,2692,16559
880872448815771648,3695,20655
880465832366813184,6061,27697
880221127280381952,4076,26238
880095782870896641,4193,26822
879862464715927552,3382,21689
879674319642796034,10,302
879492040517615616,3076,22755
879415818425184262,42843,102763
879376492567855104,3014,16323
879130579576475649,6586,0
879050749262655488,4547,21881
879008229531029506,2608,18430
878776093423087618,3991,18852
878604707211726852,6957,29333
878404777348136964,1246,0
878316110768087041,6431,0
878281511006478336,1246,7518
878057613040115712,6586,40862
877736472329191424,18477,77403
877611172832227328,78,0
877556246731214848,3685,22085
877316821321428993,5036,26624
877201837425926144,5416,26355
876838120628539392,3234,20107
876537666061221889,4495,22903
876484053909872640,2316,18245
876120275196170240,4530,27173
875747767867523072,4159,24493
875144289856114688,4790,21336
875097192612077568,5880,26651
875021211251597312,4584,24789
874680097055178752,4512,27095
874434818259525634,14282,0
874296783580663808,3995,25390
874057562936811520,3840,22116
874012996292530176,10111,33578
873580283840344065,3828,23580
873337748698140672,1544,0
873213775632977920,1544,7043
872967104147763200,5276,26606
872820683541237760,3610,14357
872620804844003328,3591,20250
872486979161796608,8799,39696
872122724285648897,7942,33557
871879754684805121,10885,36985
871762521631449091,3403,19789
871515927908634625,3376,19723
871166179821445120,5569,0
871102520638267392,5399,20461
871032628920680449,3737,22166
870804317367881728,6064,32894
870726314365509632,3,116
870656317836468226,2593,12134
870374049280663552,25738,80993
870308999962521604,4077,21410
870063196459192321,8185,35850
869772420881756160,9858,41585
869702957897576449,6234,27694
869596645499047938,3082,15674
869227993411051520,3734,20085
